fyrnr,page_number,problem
262500,332,No sector number for sector green (0.0 - 360.0)
262600,332,No sector number for sector white (0.0 - 360.0)
265703,333,No sector number for sector green (0.0 - 360.0)
265708,333,No sector number for sector red (0.0 - 360.0)
265903,334,No sector number for sector white (0.0 - 360.0)
276023,340,No sector number for sector green (0.0 - 360.0)
280442,343,No sector number for sector red (0.0 - 360.0)
286520,345,Invalid sector number 0 for sector red (270.0 - 47.0)
286521,345,Invalid sector number 0 for sector green (348.0 - 127.0)
286522,346,Invalid sector number 0 for sector red (264.0 - 27.0)
286523,346,Invalid sector number 0 for sector green (348.0 - 116.0)
286731,346,Invalid sector number 0 for sector green (87.0 - 204.0)
286732,346,Invalid sector number 0 for sector red (175.0 - 287.0)
286733,346,Invalid sector number 0 for sector green (80.0 - 212.0)
286734,346,Invalid sector number 0 for sector red (159.0 - 274.0)
287142,347,No sector number for sector red (0.0 - 360.0)
289451,348,No sector number for sector green (0.0 - 360.0)
289457,348,No sector number for sector green (0.0 - 360.0)
289462,348,No sector number for sector red (0.0 - 360.0)
289463,348,No sector number for sector green (0.0 - 360.0)
289464,348,No sector number for sector red (0.0 - 360.0)
289466,348,No sector number for sector red (0.0 - 360.0)
315411,365,No sector number for sector green (0.0 - 360.0)
328701,376,No sector number for sector green (0.0 - 360.0)
333001,379,No sector number for sector green (0.0 - 360.0)
334412,380,No sector number for sector red (0.0 - 360.0)
344322,391,No sector number for sector red (0.0 - 360.0)
344910,392,No sector number for sector red (0.0 - 360.0)
348012,395,No sector number for sector red (0.0 - 360.0)
348013,395,No sector number for sector green (0.0 - 360.0)
349101,396,No sector number for sector green (0.0 - 360.0)
351012,399,No sector number for sector red (0.0 - 360.0)
351016,399,No sector number for sector red (0.0 - 360.0)
351051,399,No sector number for sector green (0.0 - 360.0)
351052,399,No sector number for sector red (0.0 - 360.0)
351057,399,No sector number for sector green (0.0 - 360.0)
351661,400,No sector number for sector green (0.0 - 360.0)
353651,402,No sector number for sector green (0.0 - 360.0)
354000,403,Gap in sector numbering. Missing sector number 15
354000,403,Non sequential sector has a non-continuous angle. 192.1 != 259.4
356711,405,No sector number for sector green (0.0 - 360.0)
356712,405,No sector number for sector red (0.0 - 360.0)
356715,405,No sector number for sector green (0.0 - 360.0)
356720,405,No sector number for sector white (0.0 - 360.0)
356834,406,No sector number for sector red (0.0 - 360.0)
357106,406,No sector number for sector red (0.0 - 360.0)
357107,406,No sector number for sector green (0.0 - 360.0)
358022,407,No sector number for sector red (0.0 - 360.0)
358404,407,No sector number for sector red (0.0 - 360.0)
358612,408,No sector number for sector red (0.0 - 360.0)
362402,412,No sector number for sector red (0.0 - 360.0)
371701,418,No sector number for sector green (0.0 - 360.0)
371802,418,No sector number for sector red (0.0 - 360.0)
372902,419,No sector number for sector red (0.0 - 360.0)
372904,419,No sector number for sector red (0.0 - 360.0)
372906,419,No sector number for sector red (0.0 - 360.0)
372907,419,No sector number for sector green (0.0 - 360.0)
372909,419,No sector number for sector green (0.0 - 360.0)
378513,425,No sector number for sector green (0.0 - 360.0)
379000,425,Gap in sector numbering. Missing sector number 4
379000,425,Non sequential sector has a non-continuous angle. 74.8 != 91.0
387521,431,No sector number for sector green (0.0 - 360.0)
387522,431,No sector number for sector red (0.0 - 360.0)
387611,431,No sector number for sector green (0.0 - 360.0)
387910,432,No sector number for sector white (0.0 - 360.0)
388410,432,No sector number for sector white (0.0 - 360.0)
400702,436,No sector number for sector red (0.0 - 360.0)
401401,437,No sector number for sector green (0.0 - 360.0)
401402,437,No sector number for sector red (0.0 - 360.0)
401562,437,No sector number for sector red (0.0 - 360.0)
402503,438,No sector number for sector green (0.0 - 360.0)
402504,438,No sector number for sector red (0.0 - 360.0)
402508,438,No sector number for sector red (0.0 - 360.0)
403110,439,No sector number for sector white (0.0 - 360.0)
403120,439,No sector number for sector white (0.0 - 360.0)
411011,445,No sector number for sector green (0.0 - 360.0)
411013,445,No sector number for sector green (0.0 - 360.0)
411016,445,No sector number for sector red (0.0 - 360.0)
412112,446,No sector number for sector red (0.0 - 360.0)
425802,455,No sector number for sector red (0.0 - 360.0)
426011,455,No sector number for sector green (0.0 - 360.0)
426013,456,No sector number for sector green (0.0 - 360.0)
426015,456,No sector number for sector green (0.0 - 360.0)
426017,456,No sector number for sector green (0.0 - 360.0)
426019,456,No sector number for sector green (0.0 - 360.0)
429102,457,No sector number for sector red (0.0 - 360.0)
454202,471,No sector number for sector red (0.0 - 360.0)
456613,473,No sector number for sector green (0.0 - 360.0)
456615,473,No sector number for sector green (0.0 - 360.0)
458121,474,No sector number for sector green (0.0 - 360.0)
458122,474,No sector number for sector red (0.0 - 360.0)
458123,475,No sector number for sector green (0.0 - 360.0)
461301,477,No sector number for sector green (0.0 - 360.0)
461310,477,No sector number for sector red (0.0 - 360.0)
461402,477,No sector number for sector red (0.0 - 360.0)
461404,477,No sector number for sector red (0.0 - 360.0)
461405,477,No sector number for sector green (0.0 - 360.0)
462601,478,No sector number for sector green (0.0 - 360.0)
462611,478,No sector number for sector green (0.0 - 360.0)
463010,478,No sector number for sector white (0.0 - 360.0)
463011,478,No sector number for sector green (0.0 - 360.0)
464401,479,No sector number for sector green (0.0 - 360.0)
464403,479,No sector number for sector green (0.0 - 360.0)
464405,479,No sector number for sector green (0.0 - 360.0)
465802,481,No sector number for sector red (0.0 - 360.0)
465811,481,No sector number for sector green (0.0 - 360.0)
466387,482,No sector number for sector green (0.0 - 360.0)
468411,484,No sector number for sector green (0.0 - 360.0)
469301,486,No sector number for sector green (0.0 - 360.0)
475811,492,No sector number for sector green (0.0 - 360.0)
508601,510,No sector number for sector green (0.0 - 360.0)
517500,515,No sector number for sector red (0.0 - 360.0)
519200,516,No sector number for sector green (0.0 - 360.0)
520400,516,No sector number for sector red (0.0 - 360.0)
524002,517,No sector number for sector red (0.0 - 360.0)
524003,517,No sector number for sector green (0.0 - 360.0)
526011,519,No sector number for sector green (0.0 - 360.0)
526511,519,No sector number for sector green (0.0 - 360.0)
526522,519,No sector number for sector red (0.0 - 360.0)
528002,519,No sector number for sector red (0.0 - 360.0)
528003,519,No sector number for sector green (0.0 - 360.0)
528008,520,No sector number for sector red (0.0 - 360.0)
532515,522,No sector number for sector green (0.0 - 360.0)
532517,522,No sector number for sector green (0.0 - 360.0)
532518,522,No sector number for sector red (0.0 - 360.0)
541202,527,No sector number for sector red (0.0 - 360.0)
541310,527,No sector number for sector white (0.0 - 360.0)
541501,527,No sector number for sector green (0.0 - 360.0)
541810,528,No sector number for sector white (0.0 - 360.0)
547003,529,No sector number for sector green (0.0 - 360.0)
551900,531,No sector number for sector white (0.0 - 360.0)
562402,538,No sector number for sector red (0.0 - 360.0)
570702,545,No sector number for sector red (0.0 - 360.0)
581321,550,No sector number for sector green (0.0 - 360.0)
589601,555,No sector number for sector green (0.0 - 360.0)
600010,556,Gap in sector numbering. Missing sector number 4
600010,556,Non sequential sector has a non-continuous angle. 31.7 != 200.9
600100,557,Gap in sector numbering. Missing sector number 8
600100,557,Non sequential sector has a non-continuous angle. 164.6 != 224.4
618201,573,No sector number for sector green (0.0 - 360.0)
619110,573,No sector number for sector white (0.0 - 360.0)
619704,573,No sector number for sector red (0.0 - 360.0)
620001,573,No sector number for sector green (0.0 - 360.0)
622511,575,No sector number for sector green (0.0 - 360.0)
622512,575,No sector number for sector red (0.0 - 360.0)
623114,575,No sector number for sector red (0.0 - 360.0)
624016,576,No sector number for sector red (0.0 - 360.0)
625317,576,No sector number for sector green (0.0 - 360.0)
625318,576,No sector number for sector red (0.0 - 360.0)
626142,577,No sector number for sector red (0.0 - 360.0)
626243,577,No sector number for sector green (0.0 - 360.0)
626301,577,No sector number for sector green (0.0 - 360.0)
626340,578,No sector number for sector white (0.0 - 360.0)
626403,578,No sector number for sector green (0.0 - 360.0)
630410,580,No sector number for sector white (0.0 - 360.0)
631009,580,No sector number for sector green (0.0 - 360.0)
631120,580,No sector number for sector white (0.0 - 360.0)
633022,582,No sector number for sector red (0.0 - 360.0)
633023,582,No sector number for sector green (0.0 - 360.0)
633024,582,No sector number for sector red (0.0 - 360.0)
633025,582,No sector number for sector green (0.0 - 360.0)
633026,582,No sector number for sector red (0.0 - 360.0)
633028,582,No sector number for sector red (0.0 - 360.0)
633030,582,No sector number for sector white (0.0 - 360.0)
633535,583,No sector number for sector green (0.0 - 360.0)
633542,583,No sector number for sector red (0.0 - 360.0)
633544,583,No sector number for sector red (0.0 - 360.0)
633546,583,No sector number for sector red (0.0 - 360.0)
634550,584,No sector number for sector white (0.0 - 360.0)
635228,585,No sector number for sector red (0.0 - 360.0)
635231,585,No sector number for sector green (0.0 - 360.0)
635240,585,No sector number for sector white (0.0 - 360.0)
635343,585,No sector number for sector green (0.0 - 360.0)
635344,585,No sector number for sector red (0.0 - 360.0)
635346,585,No sector number for sector red (0.0 - 360.0)
635405,585,No sector number for sector green (0.0 - 360.0)
635407,585,No sector number for sector green (0.0 - 360.0)
635508,586,No sector number for sector red (0.0 - 360.0)
635509,586,No sector number for sector green (0.0 - 360.0)
635612,586,No sector number for sector red (0.0 - 360.0)
635720,586,No sector number for sector white (0.0 - 360.0)
635722,586,No sector number for sector red (0.0 - 360.0)
635924,586,No sector number for sector red (0.0 - 360.0)
636127,586,No sector number for sector green (0.0 - 360.0)
636229,587,No sector number for sector green (0.0 - 360.0)
636230,587,No sector number for sector white (0.0 - 360.0)
636231,587,No sector number for sector green (0.0 - 360.0)
